source_url	parsed_url
https://www.mediamatters.org/	https://www.mediamatters.org/antisemitism/gop-backed-house-nominee-lily-tang-williams-posted-false-claim-jewish-people-gave
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://www.mediamatters.org/#audio
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-legal-analyst-calls-investigation-jack-smith-and-his-staff
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-vouched-rfk-jrs-health-views-now-bill-may-come-due
https://www.mediamatters.org/	https://www.mediamatters.org/health-care/cable-news-is-barely-covering-Trump-and-GOP-plans-to-slash-medicaid
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-says-he-would-love-see-panama-canal-and-greenland-become-part-united
https://www.mediamatters.org/	https://www.mediamatters.org/january-6-insurrection/january-6-and-people-who-knew-better
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/rss.xml
https://www.mediamatters.org/	https://www.mediamatters.org/steve-bannon/steve-bannon-threatens-doj-officials-we-are-going-torment-you-and-destroy-your-lives
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/michael-savage/newsmax-guest-calls-trump-deport-imams-and-shut-down-mosques
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/sean-duffy/fox-business-host-suggests-sun-causing-climate-change-says-left-should-make-room
https://www.mediamatters.org/	https://www.mediamatters.org/tim-walz/right-wing-media-attack-tim-walz-his-support-gun-safety-ignoring-horrific-mass-shootings
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/bud-light-treatment-366-days-outrage-over-one-beer-can
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-says-we-cant-soak-rich-because-then-they-cant-tip-their-servers
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/sean-hannity-responds-atlanta-shooting-calling-guys-guns-inside-schools
https://www.mediamatters.org/	https://www.mediamatters.org/benny-johnson/benny-johnson-new-orleans-attack-was-inside-job
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
