0	0.117289	-0.198813
0.1	0.0970056	-0.206492
0.427867	0.0270349	-0.216419
0.755734	-0.0423883	-0.203372
1.0836	-0.104073	-0.169808
1.41147	-0.151978	-0.120201
1.7666	-0.183363	-0.0552639
2.12174	-0.190834	0.0130209
2.47687	-0.174725	0.0761808
2.832	-0.138217	0.126806
3.18714	-0.0868043	0.159393
3.54227	-0.0275093	0.170918
3.8974	0.032053	0.161073
4.25254	0.0846297	0.132163
4.60767	0.124194	0.0886899
4.97682	0.147111	0.0345601
5.34597	0.149511	-0.0211835
5.71512	0.132187	-0.0711478
6.08427	0.0984694	-0.109095
6.45342	0.0536622	-0.1307
6.82257	0.00423529	-0.134009
7.19172	-0.0430842	-0.119576
7.56087	-0.0822076	-0.0902481
7.93002	-0.108449	-0.0506709
8.29917	-0.119062	-0.00658431
8.66832	-0.113498	0.0359904
9.03747	-0.0933576	0.0715544
9.40662	-0.062066	0.095824
9.80128	-0.0216132	0.106406
10	-0.000495785	0.105432
0 0.000354255 0.000398615
